0:0:0:0:0:0:0:1 - - [13/Nov/2024:16:40:44 +0530] "GET /ORS_Project4/ctl/StaffListCtl HTTP/1.1" 200 8228
0:0:0:0:0:0:0:1 - - [13/Nov/2024:16:40:44 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [13/Nov/2024:16:40:49 +0530] "POST /ORS_Project4/ctl/StaffListCtl HTTP/1.1" 200 7043
0:0:0:0:0:0:0:1 - - [13/Nov/2024:16:40:50 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [13/Nov/2024:16:40:55 +0530] "POST /ORS_Project4/ctl/StaffListCtl HTTP/1.1" 200 7052
0:0:0:0:0:0:0:1 - - [13/Nov/2024:16:40:55 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [13/Nov/2024:16:41:02 +0530] "POST /ORS_Project4/ctl/StaffListCtl HTTP/1.1" 200 7942
0:0:0:0:0:0:0:1 - - [13/Nov/2024:16:41:02 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [13/Nov/2024:16:41:12 +0530] "POST /ORS_Project4/ctl/StaffListCtl HTTP/1.1" 200 7060
0:0:0:0:0:0:0:1 - - [13/Nov/2024:16:41:12 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [13/Nov/2024:16:41:18 +0530] "POST /ORS_Project4/ctl/StaffListCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Nov/2024:16:41:18 +0530] "GET /ORS_Project4/ctl/StaffListCtl HTTP/1.1" 200 8228
0:0:0:0:0:0:0:1 - - [13/Nov/2024:16:41:18 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [13/Nov/2024:16:42:47 +0530] "GET /ORS_Project4/ctl/StaffListCtl HTTP/1.1" 200 8228
0:0:0:0:0:0:0:1 - - [13/Nov/2024:16:42:48 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [13/Nov/2024:16:42:53 +0530] "GET /ORS_Project4/ctl/StaffCtl HTTP/1.1" 200 6733
0:0:0:0:0:0:0:1 - - [13/Nov/2024:16:42:54 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [13/Nov/2024:16:42:55 +0530] "GET /ORS_Project4/ctl/StaffListCtl HTTP/1.1" 200 8228
0:0:0:0:0:0:0:1 - - [13/Nov/2024:16:42:55 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [13/Nov/2024:16:42:59 +0530] "POST /ORS_Project4/ctl/StaffListCtl HTTP/1.1" 200 7053
0:0:0:0:0:0:0:1 - - [13/Nov/2024:16:43:00 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [13/Nov/2024:16:43:05 +0530] "POST /ORS_Project4/ctl/StaffListCtl HTTP/1.1" 200 7043
0:0:0:0:0:0:0:1 - - [13/Nov/2024:16:43:06 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [13/Nov/2024:16:45:23 +0530] "GET /ORS_Project4/ctl/StaffListCtl HTTP/1.1" 200 8228
0:0:0:0:0:0:0:1 - - [13/Nov/2024:16:45:24 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [13/Nov/2024:16:45:28 +0530] "POST /ORS_Project4/ctl/StaffListCtl HTTP/1.1" 200 7044
0:0:0:0:0:0:0:1 - - [13/Nov/2024:16:45:28 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [13/Nov/2024:16:45:33 +0530] "POST /ORS_Project4/ctl/StaffListCtl HTTP/1.1" 200 7053
0:0:0:0:0:0:0:1 - - [13/Nov/2024:16:45:33 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [13/Nov/2024:16:45:38 +0530] "POST /ORS_Project4/ctl/StaffListCtl HTTP/1.1" 200 4697
